Tree	Node A-form	Node B-form	Node C-form	Node D-form	Node E-form	Node F-form	Node G-form	Node H-form	Node I-form	Node J-form	Node K-form	Node L-form	Node M-form	Node N-form	Node O-form	Node P-form	Node Q-form	Node R-form	Node S-form	Node T-form	Node U-form	Node V-form	Node W-form	Node X-form	Node Y-form	Node Z-form	Node A1-form	Node B1-form	Node C1-form	Node D1-form	Node E1-form	Node F1-form	Node G1-form	Absolute frequency	Relative frequency	Order	Grew-match query	Grew-match URL	Number of nodes	Head node	MI	MI3	Dice	logDice	t-score	simple-LL
high <amod ranking	high	ranking																																1	4.7	AB	"pattern {B [form=""ranking""]; A [form=""high""]; B -[amod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22ranking%22%5D%3B%20A%20%5Bform%3D%22high%22%5D%3B%20B%20-%5Bamod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	ranking	11.56	11.56	0.03	8.85	1.00	4.96
higher >obl (than <case the <det mean <amod cost >nmod (per <case student) >acl (fixed >obl:agent (by <case the <det State)))	higher	than	the	mean	cost	per	student	fixed	by	the	State																							1	4.7	ABCDEFGHIJK	"pattern {A [form=""higher""]; E [form=""cost""]; B [form=""than""]; C [form=""the""]; D [form=""mean""]; G [form=""student""]; F [form=""per""]; H [form=""fixed""]; K [form=""State""]; I [form=""by""]; J [form=""the""]; A -[obl]-> E; E -[case]-> B; E -[det]-> C; E -[amod]-> D; E -[nmod]-> G; G -[case]-> F; E -[acl]-> H; H -[obl:agent]-> K; K -[case]-> I; K -[det]-> J; A << E; E >> B; E >> C; E >> D; E << G; G >> F; E << H; H << K; K >> I; K >> J} without {A -> X0} without {E -> X1} without {B -> X2} without {C -> X3} without {D -> X4} without {G -> X5} without {F -> X6} without {H -> X7} without {K -> X8} without {I -> X9} without {J -> X10}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22higher%22%5D%3B%20E%20%5Bform%3D%22cost%22%5D%3B%20B%20%5Bform%3D%22than%22%5D%3B%20C%20%5Bform%3D%22the%22%5D%3B%20D%20%5Bform%3D%22mean%22%5D%3B%20G%20%5Bform%3D%22student%22%5D%3B%20F%20%5Bform%3D%22per%22%5D%3B%20H%20%5Bform%3D%22fixed%22%5D%3B%20K%20%5Bform%3D%22State%22%5D%3B%20I%20%5Bform%3D%22by%22%5D%3B%20J%20%5Bform%3D%22the%22%5D%3B%20A%20-%5Bobl%5D-%3E%20E%3B%20E%20-%5Bcase%5D-%3E%20B%3B%20E%20-%5Bdet%5D-%3E%20C%3B%20E%20-%5Bamod%5D-%3E%20D%3B%20E%20-%5Bnmod%5D-%3E%20G%3B%20G%20-%5Bcase%5D-%3E%20F%3B%20E%20-%5Bacl%5D-%3E%20H%3B%20H%20-%5Bobl%3Aagent%5D-%3E%20K%3B%20K%20-%5Bcase%5D-%3E%20I%3B%20K%20-%5Bdet%5D-%3E%20J%3B%20A%20%3C%3C%20E%3B%20E%20%3E%3E%20B%3B%20E%20%3E%3E%20C%3B%20E%20%3E%3E%20D%3B%20E%20%3C%3C%20G%3B%20G%20%3E%3E%20F%3B%20E%20%3C%3C%20H%3B%20H%20%3C%3C%20K%3B%20K%20%3E%3E%20I%3B%20K%20%3E%3E%20J%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BE%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D%20without%20%7BG%20-%3E%20X5%7D%20without%20%7BF%20-%3E%20X6%7D%20without%20%7BH%20-%3E%20X7%7D%20without%20%7BK%20-%3E%20X8%7D%20without%20%7BI%20-%3E%20X9%7D%20without%20%7BJ%20-%3E%20X10%7D	11	higher	NaN	NaN	NaN	NaN	NaN	NaN
highly <advmod accurate	highly	accurate																																1	4.7	AB	"pattern {B [form=""accurate""]; A [form=""highly""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22accurate%22%5D%3B%20A%20%5Bform%3D%22highly%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	accurate	9.94	9.94	0.06	9.96	1.00	3.99
highly <advmod commercial	highly	commercial																																1	4.7	AB	"pattern {B [form=""commercial""]; A [form=""highly""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22commercial%22%5D%3B%20A%20%5Bform%3D%22highly%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	commercial	9.94	9.94	0.06	9.96	1.00	3.99
highly <advmod complex >conj (and <cc urban)	highly	complex	and	urban																														1	4.7	ABCD	"pattern {B [form=""complex""]; A [form=""highly""]; D [form=""urban""]; C [form=""and""]; B -[advmod]-> A; B -[conj]-> D; D -[cc]-> C; B >> A; B << D; D >> C} without {B -> X0} without {A -> X1} without {D -> X2} without {C -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22complex%22%5D%3B%20A%20%5Bform%3D%22highly%22%5D%3B%20D%20%5Bform%3D%22urban%22%5D%3B%20C%20%5Bform%3D%22and%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20-%5Bconj%5D-%3E%20D%3B%20D%20-%5Bcc%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20D%3B%20D%20%3E%3E%20C%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BD%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D	4	complex	28.83	28.83	0.00	3.72	1.00	15.36
highly <advmod skilled >conj (and <cc highly <advmod co-ordinated)	highly	skilled	and	highly	co-ordinated																													1	4.7	ABCDE	"pattern {B [form=""skilled""]; A [form=""highly""]; E [form=""co-ordinated""]; C [form=""and""]; D [form=""highly""]; B -[advmod]-> A; B -[conj]-> E; E -[cc]-> C; E -[advmod]-> D; B >> A; B << E; E >> C; E >> D} without {B -> X0} without {A -> X1} without {E -> X2} without {C -> X3} without {D -> X4}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22skilled%22%5D%3B%20A%20%5Bform%3D%22highly%22%5D%3B%20E%20%5Bform%3D%22co-ordinated%22%5D%3B%20C%20%5Bform%3D%22and%22%5D%3B%20D%20%5Bform%3D%22highly%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20-%5Bconj%5D-%3E%20E%3B%20E%20-%5Bcc%5D-%3E%20C%3B%20E%20-%5Badvmod%5D-%3E%20D%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20E%3B%20E%20%3E%3E%20C%3B%20E%20%3E%3E%20D%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BE%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D	5	skilled	49.33	49.33	0.00	4.04	1.00	27.70
highly <advmod successfully	highly	successfully																																1	4.7	AB	"pattern {B [form=""successfully""]; A [form=""highly""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22successfully%22%5D%3B%20A%20%5Bform%3D%22highly%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	successfully	9.41	9.41	0.05	9.79	1.00	3.67
homogeneous >conj (and <cc unitary)	homogeneous	and	unitary																															1	4.7	ABC	"pattern {A [form=""homogeneous""]; C [form=""unitary""]; B [form=""and""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22homogeneous%22%5D%3B%20C%20%5Bform%3D%22unitary%22%5D%3B%20B%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	homogeneous	23.12	23.12	0.00	3.31	1.00	11.92
ill <amod famed	ill	famed																																1	4.7	AB	"pattern {B [form=""famed""]; A [form=""ill""]; B -[amod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22famed%22%5D%3B%20A%20%5Bform%3D%22ill%22%5D%3B%20B%20-%5Bamod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	famed	13.89	13.89	0.22	11.83	1.00	6.36
ill <amod mannered	ill	mannered																																1	4.7	AB	"pattern {B [form=""mannered""]; A [form=""ill""]; B -[amod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22mannered%22%5D%3B%20A%20%5Bform%3D%22ill%22%5D%3B%20B%20-%5Bamod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	mannered	14.89	14.89	0.25	12.00	1.00	6.96
illogical >conj tribal >conj (and <cc aggressive)	illogical	tribal	and	aggressive																														1	4.7	ABCD	"pattern {A [form=""illogical""]; B [form=""tribal""]; D [form=""aggressive""]; C [form=""and""]; A -[conj]-> B; A -[conj]-> D; D -[cc]-> C; A << B; A << D; D >> C} without {A -> X0} without {B -> X1} without {D -> X2} without {C -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22illogical%22%5D%3B%20B%20%5Bform%3D%22tribal%22%5D%3B%20D%20%5Bform%3D%22aggressive%22%5D%3B%20C%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bconj%5D-%3E%20B%3B%20A%20-%5Bconj%5D-%3E%20D%3B%20D%20-%5Bcc%5D-%3E%20C%3B%20A%20%3C%3C%20B%3B%20A%20%3C%3C%20D%3B%20D%20%3E%3E%20C%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BD%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D	4	illogical	33.19	33.19	0.00	3.72	1.00	17.99
important >conj (and <cc influential)	important	and	influential																															1	4.7	ABC	"pattern {A [form=""important""]; C [form=""influential""]; B [form=""and""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22important%22%5D%3B%20C%20%5Bform%3D%22influential%22%5D%3B%20B%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	important	13.59	13.59	0.00	3.29	1.00	6.18
impossible >xcomp (to <mark hold >obl on)	impossible	to	hold	on																														1	4.7	ABCD	"pattern {A [form=""impossible""]; C [form=""hold""]; B [form=""to""]; D [form=""on""]; A -[xcomp]-> C; C -[mark]-> B; C -[obl]-> D; A << C; C >> B; C << D} without {A -> X0} without {C -> X1} without {B -> X2} without {D -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22impossible%22%5D%3B%20C%20%5Bform%3D%22hold%22%5D%3B%20B%20%5Bform%3D%22to%22%5D%3B%20D%20%5Bform%3D%22on%22%5D%3B%20A%20-%5Bxcomp%5D-%3E%20C%3B%20C%20-%5Bmark%5D-%3E%20B%3B%20C%20-%5Bobl%5D-%3E%20D%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%3B%20C%20%3C%3C%20D%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BD%20-%3E%20X3%7D	4	impossible	23.11	23.11	0.00	3.54	1.00	11.91
in >flat situ >conj (and <cc airborne)	in	situ	and	airborne																														1	4.7	ABCD	"pattern {A [form=""in""]; B [form=""situ""]; D [form=""airborne""]; C [form=""and""]; A -[flat]-> B; A -[conj]-> D; D -[cc]-> C; A << B; A << D; D >> C} without {A -> X0} without {B -> X1} without {D -> X2} without {C -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22in%22%5D%3B%20B%20%5Bform%3D%22situ%22%5D%3B%20D%20%5Bform%3D%22airborne%22%5D%3B%20C%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bflat%5D-%3E%20B%3B%20A%20-%5Bconj%5D-%3E%20D%3B%20D%20-%5Bcc%5D-%3E%20C%3B%20A%20%3C%3C%20B%3B%20A%20%3C%3C%20D%3B%20D%20%3E%3E%20C%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BD%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D	4	in	24.84	24.84	0.00	3.01	1.00	12.95
inclusive >conj (and <cc equitable)	inclusive	and	equitable																															1	4.7	ABC	"pattern {A [form=""inclusive""]; C [form=""equitable""]; B [form=""and""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22inclusive%22%5D%3B%20C%20%5Bform%3D%22equitable%22%5D%3B%20B%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	inclusive	19.53	19.53	0.00	3.31	1.00	9.76
incomplete >conj (and <cc faulty)	incomplete	and	faulty																															1	4.7	ABC	"pattern {A [form=""incomplete""]; C [form=""faulty""]; B [form=""and""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22incomplete%22%5D%3B%20C%20%5Bform%3D%22faulty%22%5D%3B%20B%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	incomplete	23.12	23.12	0.00	3.31	1.00	11.92
increasingly <advmod complex	increasingly	complex																																1	4.7	AB	"pattern {B [form=""complex""]; A [form=""increasingly""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22complex%22%5D%3B%20A%20%5Bform%3D%22increasingly%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	complex	11.89	11.89	0.11	10.83	1.00	5.16
increasingly <advmod heavy	increasingly	heavy																																1	4.7	AB	"pattern {B [form=""heavy""]; A [form=""increasingly""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22heavy%22%5D%3B%20A%20%5Bform%3D%22increasingly%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	heavy	11.79	11.79	0.11	10.75	1.00	5.10
incredibly <advmod large	incredibly	large																																1	4.7	AB	"pattern {B [form=""large""]; A [form=""incredibly""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22large%22%5D%3B%20A%20%5Bform%3D%22incredibly%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	large	8.72	8.72	0.03	8.70	1.00	3.25
incredibly <advmod sheltered	incredibly	sheltered																																1	4.7	AB	"pattern {B [form=""sheltered""]; A [form=""incredibly""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22sheltered%22%5D%3B%20A%20%5Bform%3D%22incredibly%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	sheltered	13.30	13.30	0.20	11.68	1.00	6.01
indigenous >obl (to <case the <det area)	indigenous	to	the	area																														1	4.7	ABCD	"pattern {A [form=""indigenous""]; D [form=""area""]; B [form=""to""]; C [form=""the""]; A -[obl]-> D; D -[case]-> B; D -[det]-> C; A << D; D >> B; D >> C} without {A -> X0} without {D -> X1} without {B -> X2} without {C -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22indigenous%22%5D%3B%20D%20%5Bform%3D%22area%22%5D%3B%20B%20%5Bform%3D%22to%22%5D%3B%20C%20%5Bform%3D%22the%22%5D%3B%20A%20-%5Bobl%5D-%3E%20D%3B%20D%20-%5Bcase%5D-%3E%20B%3B%20D%20-%5Bdet%5D-%3E%20C%3B%20A%20%3C%3C%20D%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BD%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D	4	indigenous	19.10	19.10	0.00	2.27	1.00	9.50
industrial >conj (and <cc commerce)	industrial	and	commerce																															1	4.7	ABC	"pattern {A [form=""industrial""]; C [form=""commerce""]; B [form=""and""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22industrial%22%5D%3B%20C%20%5Bform%3D%22commerce%22%5D%3B%20B%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	industrial	18.21	18.21	0.00	3.31	1.00	8.96
industrial >conj (and <cc commercial)	industrial	and	commercial																															1	4.7	ABC	"pattern {A [form=""industrial""]; C [form=""commercial""]; B [form=""and""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22industrial%22%5D%3B%20C%20%5Bform%3D%22commercial%22%5D%3B%20B%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	industrial	16.62	16.62	0.00	3.31	1.00	8.01
influential >conj (but <cc now <advmod sadly <advmod unavailable)	influential	but	now	sadly	unavailable																													1	4.7	ABCDE	"pattern {A [form=""influential""]; E [form=""unavailable""]; B [form=""but""]; C [form=""now""]; D [form=""sadly""]; A -[conj]-> E; E -[cc]-> B; E -[advmod]-> C; E -[advmod]-> D; A << E; E >> B; E >> C; E >> D} without {A -> X0} without {E -> X1} without {B -> X2} without {C -> X3} without {D -> X4}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22influential%22%5D%3B%20E%20%5Bform%3D%22unavailable%22%5D%3B%20B%20%5Bform%3D%22but%22%5D%3B%20C%20%5Bform%3D%22now%22%5D%3B%20D%20%5Bform%3D%22sadly%22%5D%3B%20A%20-%5Bconj%5D-%3E%20E%3B%20E%20-%5Bcc%5D-%3E%20B%3B%20E%20-%5Badvmod%5D-%3E%20C%3B%20E%20-%5Badvmod%5D-%3E%20D%3B%20A%20%3C%3C%20E%3B%20E%20%3E%3E%20B%3B%20E%20%3E%3E%20C%3B%20E%20%3E%3E%20D%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BE%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D	5	influential	49.26	49.26	0.01	6.76	1.00	27.65
initial >conj (and <cc replication)	initial	and	replication																															1	4.7	ABC	"pattern {A [form=""initial""]; C [form=""replication""]; B [form=""and""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22initial%22%5D%3B%20C%20%5Bform%3D%22replication%22%5D%3B%20B%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	initial	14.78	14.78	0.00	3.30	1.00	6.90
innovative >conj (and <cc transformative)	innovative	and	transformative																															1	4.7	ABC	"pattern {A [form=""innovative""]; C [form=""transformative""]; B [form=""and""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22innovative%22%5D%3B%20C%20%5Bform%3D%22transformative%22%5D%3B%20B%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	innovative	19.12	19.12	0.00	3.31	1.00	9.51
intensely <advmod green	intensely	green																																1	4.7	AB	"pattern {B [form=""green""]; A [form=""intensely""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22green%22%5D%3B%20A%20%5Bform%3D%22intensely%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	green	13.30	13.30	0.09	10.54	1.00	6.01
interesting >conj (and <cc quiet)	interesting	and	quiet																															1	4.7	ABC	"pattern {A [form=""interesting""]; C [form=""quiet""]; B [form=""and""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22interesting%22%5D%3B%20C%20%5Bform%3D%22quiet%22%5D%3B%20B%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	interesting	15.13	15.13	0.00	3.30	1.00	7.11
investment <compound starved	investment	starved																																1	4.7	AB	"pattern {B [form=""starved""]; A [form=""investment""]; B -[compound]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22starved%22%5D%3B%20A%20%5Bform%3D%22investment%22%5D%3B%20B%20-%5Bcompound%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	starved	16.11	16.11	0.50	13.00	1.00	7.70
inveterate >conj (and <cc proverbial)	inveterate	and	proverbial																															1	4.7	ABC	"pattern {A [form=""inveterate""]; C [form=""proverbial""]; B [form=""and""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22inveterate%22%5D%3B%20C%20%5Bform%3D%22proverbial%22%5D%3B%20B%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	inveterate	23.12	23.12	0.00	3.31	1.00	11.92
iodine <compound containing	iodine	containing																																1	4.7	AB	"pattern {B [form=""containing""]; A [form=""iodine""]; B -[compound]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22containing%22%5D%3B%20A%20%5Bform%3D%22iodine%22%5D%3B%20B%20-%5Bcompound%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	containing	10.24	10.24	0.06	10.00	1.00	4.17
