Tree	Node A-form	Node B-form	Node C-form	Node D-form	Node E-form	Node F-form	Node G-form	Node H-form	Node I-form	Node J-form	Node K-form	Node L-form	Node M-form	Node N-form	Node O-form	Node P-form	Node Q-form	Node R-form	Node S-form	Node T-form	Node U-form	Node V-form	Node W-form	Node X-form	Node Y-form	Node Z-form	Node A1-form	Node B1-form	Node C1-form	Node D1-form	Node E1-form	Node F1-form	Node G1-form	Node H1-form	Node I1-form	Node J1-form	Node K1-form	Absolute frequency	Relative frequency	Order	Grew-match query	Grew-match URL	Number of nodes	Head node	MI	MI3	Dice	logDice	t-score	simple-LL
pozitivnih >conj (in <cc lepih)	pozitivnih	in	lepih																																			1	3.7	ABC	"pattern {A [form=""pozitivnih""]; C [form=""lepih""]; B [form=""in""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22pozitivnih%22%5D%3B%20C%20%5Bform%3D%22lepih%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	pozitivnih	20.52	20.52	0.00	3.05	1.00	10.36
poznan >obl (tudi <advmod kot <case BSD)	poznan	tudi	kot	BSD																																		1	3.7	ABCD	"pattern {A [form=""poznan""]; D [form=""BSD""]; B [form=""tudi""]; C [form=""kot""]; A -[obl]-> D; D -[advmod]-> B; D -[case]-> C; A << D; D >> B; D >> C} without {A -> X0} without {D -> X1} without {B -> X2} without {C -> X3}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22poznan%22%5D%3B%20D%20%5Bform%3D%22BSD%22%5D%3B%20B%20%5Bform%3D%22tudi%22%5D%3B%20C%20%5Bform%3D%22kot%22%5D%3B%20A%20-%5Bobl%5D-%3E%20D%3B%20D%20-%5Badvmod%5D-%3E%20B%3B%20D%20-%5Bcase%5D-%3E%20C%3B%20A%20%3C%3C%20D%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BD%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D	4	poznan	30.98	30.98	0.00	4.73	1.00	16.65
poznega <amod dvajsetega	poznega	dvajsetega																																				1	3.7	AB	"pattern {B [form=""dvajsetega""]; A [form=""poznega""]; B -[amod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22dvajsetega%22%5D%3B%20A%20%5Bform%3D%22poznega%22%5D%3B%20B%20-%5Bamod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	dvajsetega	17.03	17.03	0.67	13.42	1.00	8.25
poznih <amod sedemdesetih >conj (in <cc osemdesetih)	poznih	sedemdesetih	in	osemdesetih																																		1	3.7	ABCD	"pattern {B [form=""sedemdesetih""]; A [form=""poznih""]; D [form=""osemdesetih""]; C [form=""in""]; B -[amod]-> A; B -[conj]-> D; D -[cc]-> C; B >> A; B << D; D >> C} without {B -> X0} without {A -> X1} without {D -> X2} without {C -> X3}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22sedemdesetih%22%5D%3B%20A%20%5Bform%3D%22poznih%22%5D%3B%20D%20%5Bform%3D%22osemdesetih%22%5D%3B%20C%20%5Bform%3D%22in%22%5D%3B%20B%20-%5Bamod%5D-%3E%20A%3B%20B%20-%5Bconj%5D-%3E%20D%3B%20D%20-%5Bcc%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20D%3B%20D%20%3E%3E%20C%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BD%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D	4	sedemdesetih	34.84	34.84	0.00	3.47	1.00	18.97
praktične >conj (oziroma <cc delovno <advmod intenzivne)	praktične	oziroma	delovno	intenzivne																																		1	3.7	ABCD	"pattern {A [form=""praktične""]; D [form=""intenzivne""]; B [form=""oziroma""]; C [form=""delovno""]; A -[conj]-> D; D -[cc]-> B; D -[advmod]-> C; A << D; D >> B; D >> C} without {A -> X0} without {D -> X1} without {B -> X2} without {C -> X3}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22prakti%C4%8Dne%22%5D%3B%20D%20%5Bform%3D%22intenzivne%22%5D%3B%20B%20%5Bform%3D%22oziroma%22%5D%3B%20C%20%5Bform%3D%22delovno%22%5D%3B%20A%20-%5Bconj%5D-%3E%20D%3B%20D%20-%5Bcc%5D-%3E%20B%3B%20D%20-%5Badvmod%5D-%3E%20C%3B%20A%20%3C%3C%20D%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BD%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D	4	praktične	40.99	40.99	0.03	8.78	1.00	22.68
praktično <advmod cele	praktično	cele																																				1	3.7	AB	"pattern {B [form=""cele""]; A [form=""praktično""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22cele%22%5D%3B%20A%20%5Bform%3D%22prakti%C4%8Dno%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	cele	11.52	11.52	0.10	10.68	1.00	4.94
prav <advmod Beckhamov	prav	Beckhamov																																				1	3.7	AB	"pattern {B [form=""Beckhamov""]; A [form=""prav""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22Beckhamov%22%5D%3B%20A%20%5Bform%3D%22prav%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	Beckhamov	9.54	9.54	0.01	7.50	1.00	3.75
prav <advmod izredno	prav	izredno																																				1	3.7	AB	"pattern {B [form=""izredno""]; A [form=""prav""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22izredno%22%5D%3B%20A%20%5Bform%3D%22prav%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	izredno	6.54	6.54	0.01	7.39	0.99	1.96
prav <advmod majhen	prav	majhen																																				1	3.7	AB	"pattern {B [form=""majhen""]; A [form=""prav""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22majhen%22%5D%3B%20A%20%5Bform%3D%22prav%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	majhen	7.22	7.22	0.01	7.44	0.99	2.36
prav <advmod poseben	prav	poseben																																				1	3.7	AB	"pattern {B [form=""poseben""]; A [form=""prav""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22poseben%22%5D%3B%20A%20%5Bform%3D%22prav%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	poseben	6.96	6.96	0.01	7.42	0.99	2.21
prav <advmod slednji	prav	slednji																																				1	3.7	AB	"pattern {B [form=""slednji""]; A [form=""prav""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22slednji%22%5D%3B%20A%20%5Bform%3D%22prav%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	slednji	8.22	8.22	0.01	7.48	1.00	2.96
prav <advmod zanimivimi	prav	zanimivimi																																				1	3.7	AB	"pattern {B [form=""zanimivimi""]; A [form=""prav""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22zanimivimi%22%5D%3B%20A%20%5Bform%3D%22prav%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	zanimivimi	8.96	8.96	0.01	7.49	1.00	3.40
prav <advmod čudne	prav	čudne																																				1	3.7	AB	"pattern {B [form=""čudne""]; A [form=""prav""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22%C4%8Dudne%22%5D%3B%20A%20%5Bform%3D%22prav%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	čudne	9.54	9.54	0.01	7.50	1.00	3.75
prave >conj (ali <cc lažne)	prave	ali	lažne																																			1	3.7	ABC	"pattern {A [form=""prave""]; C [form=""lažne""]; B [form=""ali""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22prave%22%5D%3B%20C%20%5Bform%3D%22la%C5%BEne%22%5D%3B%20B%20%5Bform%3D%22ali%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	prave	22.45	22.45	0.00	5.95	1.00	11.51
pravilnem >conj (in <cc natančnem)	pravilnem	in	natančnem																																			1	3.7	ABC	"pattern {A [form=""pravilnem""]; C [form=""natančnem""]; B [form=""in""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22pravilnem%22%5D%3B%20C%20%5Bform%3D%22natan%C4%8Dnem%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	pravilnem	23.52	23.52	0.00	3.05	1.00	12.16
pravkar <advmod izšlo >obl (v <case zbirki >nmod Analecta)	pravkar	izšlo	v	zbirki	Analecta																																	1	3.7	ABCDE	"pattern {B [form=""izšlo""]; A [form=""pravkar""]; D [form=""zbirki""]; C [form=""v""]; E [form=""Analecta""]; B -[advmod]-> A; B -[obl]-> D; D -[case]-> C; D -[nmod]-> E; B >> A; B << D; D >> C; D << E} without {B -> X0} without {A -> X1} without {D -> X2} without {C -> X3} without {E -> X4}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22iz%C5%A1lo%22%5D%3B%20A%20%5Bform%3D%22pravkar%22%5D%3B%20D%20%5Bform%3D%22zbirki%22%5D%3B%20C%20%5Bform%3D%22v%22%5D%3B%20E%20%5Bform%3D%22Analecta%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20-%5Bobl%5D-%3E%20D%3B%20D%20-%5Bcase%5D-%3E%20C%3B%20D%20-%5Bnmod%5D-%3E%20E%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20D%3B%20D%20%3E%3E%20C%3B%20D%20%3C%3C%20E%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BD%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BE%20-%3E%20X4%7D	5	izšlo	54.22	54.22	0.00	3.92	1.00	30.65
pravkar <advmod predlaganih	pravkar	predlaganih																																				1	3.7	AB	"pattern {B [form=""predlaganih""]; A [form=""pravkar""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22predlaganih%22%5D%3B%20A%20%5Bform%3D%22pravkar%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	predlaganih	13.86	13.86	0.18	11.54	1.00	6.34
pravljično <advmod pripoveden	pravljično	pripoveden																																				1	3.7	AB	"pattern {B [form=""pripoveden""]; A [form=""pravljično""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22pripoveden%22%5D%3B%20A%20%5Bform%3D%22pravlji%C4%8Dno%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	pripoveden	18.03	18.03	1.00	14.00	1.00	8.85
pravne >conj (in <cc politične)	pravne	in	politične																																			1	3.7	ABC	"pattern {A [form=""pravne""]; C [form=""politične""]; B [form=""in""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22pravne%22%5D%3B%20C%20%5Bform%3D%22politi%C4%8Dne%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	pravne	16.11	16.11	0.00	3.05	1.00	7.70
pravne >conj vsebinske >conj vizualne >conj (ter <cc jezikovne)	pravne	vsebinske	vizualne	ter	jezikovne																																	1	3.7	ABCDE	"pattern {A [form=""pravne""]; B [form=""vsebinske""]; C [form=""vizualne""]; E [form=""jezikovne""]; D [form=""ter""]; A -[conj]-> B; A -[conj]-> C; A -[conj]-> E; E -[cc]-> D; A << B; A << C; A << E; E >> D} without {A -> X0} without {B -> X1} without {C -> X2} without {E -> X3} without {D -> X4}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22pravne%22%5D%3B%20B%20%5Bform%3D%22vsebinske%22%5D%3B%20C%20%5Bform%3D%22vizualne%22%5D%3B%20E%20%5Bform%3D%22jezikovne%22%5D%3B%20D%20%5Bform%3D%22ter%22%5D%3B%20A%20-%5Bconj%5D-%3E%20B%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20A%20-%5Bconj%5D-%3E%20E%3B%20E%20-%5Bcc%5D-%3E%20D%3B%20A%20%3C%3C%20B%3B%20A%20%3C%3C%20C%3B%20A%20%3C%3C%20E%3B%20E%20%3E%3E%20D%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BC%20-%3E%20X2%7D%20without%20%7BE%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D	5	pravne	56.40	56.40	0.02	8.07	1.00	31.95
pravni >conj (in <cc fizični)	pravni	in	fizični																																			1	3.7	ABC	"pattern {A [form=""pravni""]; C [form=""fizični""]; B [form=""in""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22pravni%22%5D%3B%20C%20%5Bform%3D%22fizi%C4%8Dni%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	pravni	18.62	18.62	0.00	3.05	1.00	9.21
pravnih >conj (in <cc ustavnih)	pravnih	in	ustavnih																																			1	3.7	ABC	"pattern {A [form=""pravnih""]; C [form=""ustavnih""]; B [form=""in""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22pravnih%22%5D%3B%20C%20%5Bform%3D%22ustavnih%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	pravnih	20.52	20.52	0.00	3.05	1.00	10.36
pravno <advmod urejen	pravno	urejen																																				1	3.7	AB	"pattern {B [form=""urejen""]; A [form=""pravno""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22urejen%22%5D%3B%20A%20%5Bform%3D%22pravno%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	urejen	13.03	13.03	0.17	11.42	1.00	5.84
pravno >conj (in <cc drugo)	pravno	in	drugo																																			1	3.7	ABC	"pattern {A [form=""pravno""]; C [form=""drugo""]; B [form=""in""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22pravno%22%5D%3B%20C%20%5Bform%3D%22drugo%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	pravno	14.74	14.74	0.00	3.04	1.00	6.88
pravokotne >nmod (na <case površino >nmod zaslona)	pravokotne	na	površino	zaslona																																		1	3.7	ABCD	"pattern {A [form=""pravokotne""]; C [form=""površino""]; B [form=""na""]; D [form=""zaslona""]; A -[nmod]-> C; C -[case]-> B; C -[nmod]-> D; A << C; C >> B; C << D} without {A -> X0} without {C -> X1} without {B -> X2} without {D -> X3}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22pravokotne%22%5D%3B%20C%20%5Bform%3D%22povr%C5%A1ino%22%5D%3B%20B%20%5Bform%3D%22na%22%5D%3B%20D%20%5Bform%3D%22zaslona%22%5D%3B%20A%20-%5Bnmod%5D-%3E%20C%3B%20C%20-%5Bcase%5D-%3E%20B%3B%20C%20-%5Bnmod%5D-%3E%20D%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%3B%20C%20%3C%3C%20D%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BD%20-%3E%20X3%7D	4	pravokotne	37.11	37.11	0.00	4.35	1.00	20.35
precej <advmod bogatejšo >obl (od <case dosedanje)	precej	bogatejšo	od	dosedanje																																		1	3.7	ABCD	"pattern {B [form=""bogatejšo""]; A [form=""precej""]; D [form=""dosedanje""]; C [form=""od""]; B -[advmod]-> A; B -[obl]-> D; D -[case]-> C; B >> A; B << D; D >> C} without {B -> X0} without {A -> X1} without {D -> X2} without {C -> X3}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22bogatej%C5%A1o%22%5D%3B%20A%20%5Bform%3D%22precej%22%5D%3B%20D%20%5Bform%3D%22dosedanje%22%5D%3B%20C%20%5Bform%3D%22od%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20-%5Bobl%5D-%3E%20D%3B%20D%20-%5Bcase%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20D%3B%20D%20%3E%3E%20C%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BD%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D	4	bogatejšo	36.96	36.96	0.01	6.39	1.00	20.25
precej <advmod daljšo	precej	daljšo																																				1	3.7	AB	"pattern {B [form=""daljšo""]; A [form=""precej""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22dalj%C5%A1o%22%5D%3B%20A%20%5Bform%3D%22precej%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	daljšo	9.64	9.64	0.03	8.83	1.00	3.81
precej <advmod drago	precej	drago																																				1	3.7	AB	"pattern {B [form=""drago""]; A [form=""precej""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22drago%22%5D%3B%20A%20%5Bform%3D%22precej%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	drago	9.96	9.96	0.03	8.85	1.00	4.00
precej <advmod drugačno >advcl (kot <mark jo <obj izpričujejo >nsubj (omenjeni <amod novokomponirani <amod politični <amod petelinčki))	precej	drugačno	kot	jo	izpričujejo	omenjeni	novokomponirani	politični	petelinčki																													1	3.7	ABCDEFGHI	"pattern {B [form=""drugačno""]; A [form=""precej""]; E [form=""izpričujejo""]; C [form=""kot""]; D [form=""jo""]; I [form=""petelinčki""]; F [form=""omenjeni""]; G [form=""novokomponirani""]; H [form=""politični""]; B -[advmod]-> A; B -[advcl]-> E; E -[mark]-> C; E -[obj]-> D; E -[nsubj]-> I; I -[amod]-> F; I -[amod]-> G; I -[amod]-> H; B >> A; B << E; E >> C; E >> D; E << I; I >> F; I >> G; I >> H} without {B -> X0} without {A -> X1} without {E -> X2} without {C -> X3} without {D -> X4} without {I -> X5} without {F -> X6} without {G -> X7} without {H -> X8}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22druga%C4%8Dno%22%5D%3B%20A%20%5Bform%3D%22precej%22%5D%3B%20E%20%5Bform%3D%22izpri%C4%8Dujejo%22%5D%3B%20C%20%5Bform%3D%22kot%22%5D%3B%20D%20%5Bform%3D%22jo%22%5D%3B%20I%20%5Bform%3D%22petelin%C4%8Dki%22%5D%3B%20F%20%5Bform%3D%22omenjeni%22%5D%3B%20G%20%5Bform%3D%22novokomponirani%22%5D%3B%20H%20%5Bform%3D%22politi%C4%8Dni%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20-%5Badvcl%5D-%3E%20E%3B%20E%20-%5Bmark%5D-%3E%20C%3B%20E%20-%5Bobj%5D-%3E%20D%3B%20E%20-%5Bnsubj%5D-%3E%20I%3B%20I%20-%5Bamod%5D-%3E%20F%3B%20I%20-%5Bamod%5D-%3E%20G%3B%20I%20-%5Bamod%5D-%3E%20H%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20E%3B%20E%20%3E%3E%20C%3B%20E%20%3E%3E%20D%3B%20E%20%3C%3C%20I%3B%20I%20%3E%3E%20F%3B%20I%20%3E%3E%20G%3B%20I%20%3E%3E%20H%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BE%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D%20without%20%7BI%20-%3E%20X5%7D%20without%20%7BF%20-%3E%20X6%7D%20without%20%7BG%20-%3E%20X7%7D%20without%20%7BH%20-%3E%20X8%7D	9	drugačno	109.46	109.46	0.01	6.56	1.00	63.90
precej <advmod nenavadne	precej	nenavadne																																				1	3.7	AB	"pattern {B [form=""nenavadne""]; A [form=""precej""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22nenavadne%22%5D%3B%20A%20%5Bform%3D%22precej%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	nenavadne	9.64	9.64	0.03	8.83	1.00	3.81
precej <advmod neugledne	precej	neugledne																																				1	3.7	AB	"pattern {B [form=""neugledne""]; A [form=""precej""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22neugledne%22%5D%3B%20A%20%5Bform%3D%22precej%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	neugledne	11.96	11.96	0.03	8.91	1.00	5.20
