Tree	Node A-form	Node B-form	Node C-form	Node D-form	Node E-form	Node F-form	Node G-form	Node H-form	Node I-form	Node J-form	Node K-form	Node L-form	Node M-form	Node N-form	Node O-form	Node P-form	Node Q-form	Node R-form	Node S-form	Node T-form	Node U-form	Node V-form	Node W-form	Absolute frequency	Relative frequency	Order	Grew-match query	Grew-match URL	Number of nodes	Head node	MI	MI3	Dice	logDice	t-score	simple-LL
contrary >obl (to <case misrepresentations >acl:relcl (that <nsubj are <aux coming >advmod forth))	contrary	to	misrepresentations	that	are	coming	forth																	1	4.7	ABCDEFG	"pattern {A [form=""contrary""]; C [form=""misrepresentations""]; B [form=""to""]; F [form=""coming""]; D [form=""that""]; E [form=""are""]; G [form=""forth""]; A -[obl]-> C; C -[case]-> B; C -[acl:relcl]-> F; F -[nsubj]-> D; F -[aux]-> E; F -[advmod]-> G; A << C; C >> B; C << F; F >> D; F >> E; F << G} without {A -> X0} without {C -> X1} without {B -> X2} without {F -> X3} without {D -> X4} without {E -> X5} without {G -> X6}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22contrary%22%5D%3B%20C%20%5Bform%3D%22misrepresentations%22%5D%3B%20B%20%5Bform%3D%22to%22%5D%3B%20F%20%5Bform%3D%22coming%22%5D%3B%20D%20%5Bform%3D%22that%22%5D%3B%20E%20%5Bform%3D%22are%22%5D%3B%20G%20%5Bform%3D%22forth%22%5D%3B%20A%20-%5Bobl%5D-%3E%20C%3B%20C%20-%5Bcase%5D-%3E%20B%3B%20C%20-%5Bacl%3Arelcl%5D-%3E%20F%3B%20F%20-%5Bnsubj%5D-%3E%20D%3B%20F%20-%5Baux%5D-%3E%20E%3B%20F%20-%5Badvmod%5D-%3E%20G%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%3B%20C%20%3C%3C%20F%3B%20F%20%3E%3E%20D%3B%20F%20%3E%3E%20E%3B%20F%20%3C%3C%20G%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BF%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D%20without%20%7BE%20-%3E%20X5%7D%20without%20%7BG%20-%3E%20X6%7D	7	contrary	63.25	63.25	0.00	3.89	1.00	36.08
creatively >conj professionally >conj artistically >conj (and <cc personally)	creatively	professionally	artistically	and	personally																			1	4.7	ABCDE	"pattern {A [form=""creatively""]; B [form=""professionally""]; C [form=""artistically""]; E [form=""personally""]; D [form=""and""]; A -[conj]-> B; A -[conj]-> C; A -[conj]-> E; E -[cc]-> D; A << B; A << C; A << E; E >> D} without {A -> X0} without {B -> X1} without {C -> X2} without {E -> X3} without {D -> X4}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22creatively%22%5D%3B%20B%20%5Bform%3D%22professionally%22%5D%3B%20C%20%5Bform%3D%22artistically%22%5D%3B%20E%20%5Bform%3D%22personally%22%5D%3B%20D%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bconj%5D-%3E%20B%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20A%20-%5Bconj%5D-%3E%20E%3B%20E%20-%5Bcc%5D-%3E%20D%3B%20A%20%3C%3C%20B%3B%20A%20%3C%3C%20C%3B%20A%20%3C%3C%20E%3B%20E%20%3E%3E%20D%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BC%20-%3E%20X2%7D%20without%20%7BE%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D	5	creatively	53.01	53.01	0.00	4.05	1.00	29.92
damned <advmod hard	damned	hard																						1	4.7	AB	"pattern {B [form=""hard""]; A [form=""damned""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22hard%22%5D%3B%20A%20%5Bform%3D%22damned%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	hard	10.99	10.99	0.04	9.25	1.00	4.62
decades <obl:unmarked ago	decades	ago																						1	4.7	AB	"pattern {B [form=""ago""]; A [form=""decades""]; B -[obl:unmarked]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22ago%22%5D%3B%20A%20%5Bform%3D%22decades%22%5D%3B%20B%20-%5Bobl%3Aunmarked%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	ago	7.65	7.65	0.03	8.89	1.00	2.61
deeper >obl (into <case space) >obl (than <case ever <advmod before) >conj (and <cc in <case stunning <amod clarity)	deeper	into	space	than	ever	before	and	in	stunning	clarity														1	4.7	ABCDEFGHIJ	"pattern {A [form=""deeper""]; C [form=""space""]; B [form=""into""]; F [form=""before""]; D [form=""than""]; E [form=""ever""]; J [form=""clarity""]; G [form=""and""]; H [form=""in""]; I [form=""stunning""]; A -[obl]-> C; C -[case]-> B; A -[obl]-> F; F -[case]-> D; F -[advmod]-> E; A -[conj]-> J; J -[cc]-> G; J -[case]-> H; J -[amod]-> I; A << C; C >> B; A << F; F >> D; F >> E; A << J; J >> G; J >> H; J >> I} without {A -> X0} without {C -> X1} without {B -> X2} without {F -> X3} without {D -> X4} without {E -> X5} without {J -> X6} without {G -> X7} without {H -> X8} without {I -> X9}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22deeper%22%5D%3B%20C%20%5Bform%3D%22space%22%5D%3B%20B%20%5Bform%3D%22into%22%5D%3B%20F%20%5Bform%3D%22before%22%5D%3B%20D%20%5Bform%3D%22than%22%5D%3B%20E%20%5Bform%3D%22ever%22%5D%3B%20J%20%5Bform%3D%22clarity%22%5D%3B%20G%20%5Bform%3D%22and%22%5D%3B%20H%20%5Bform%3D%22in%22%5D%3B%20I%20%5Bform%3D%22stunning%22%5D%3B%20A%20-%5Bobl%5D-%3E%20C%3B%20C%20-%5Bcase%5D-%3E%20B%3B%20A%20-%5Bobl%5D-%3E%20F%3B%20F%20-%5Bcase%5D-%3E%20D%3B%20F%20-%5Badvmod%5D-%3E%20E%3B%20A%20-%5Bconj%5D-%3E%20J%3B%20J%20-%5Bcc%5D-%3E%20G%3B%20J%20-%5Bcase%5D-%3E%20H%3B%20J%20-%5Bamod%5D-%3E%20I%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%3B%20A%20%3C%3C%20F%3B%20F%20%3E%3E%20D%3B%20F%20%3E%3E%20E%3B%20A%20%3C%3C%20J%3B%20J%20%3E%3E%20G%3B%20J%20%3E%3E%20H%3B%20J%20%3E%3E%20I%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BF%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D%20without%20%7BE%20-%3E%20X5%7D%20without%20%7BJ%20-%3E%20X6%7D%20without%20%7BG%20-%3E%20X7%7D%20without%20%7BH%20-%3E%20X8%7D%20without%20%7BI%20-%3E%20X9%7D	10	deeper	95.71	95.71	0.00	4.20	1.00	55.62
differently >obl (than <case him)	differently	than	him																					1	4.7	ABC	"pattern {A [form=""differently""]; C [form=""him""]; B [form=""than""]; A -[obl]-> C; C -[case]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22differently%22%5D%3B%20C%20%5Bform%3D%22him%22%5D%3B%20B%20%5Bform%3D%22than%22%5D%3B%20A%20-%5Bobl%5D-%3E%20C%3B%20C%20-%5Bcase%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	differently	18.29	18.29	0.01	7.01	1.00	9.01
directly >conj (or <cc indirectly)	directly	or	indirectly																					1	4.7	ABC	"pattern {A [form=""directly""]; C [form=""indirectly""]; B [form=""or""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22directly%22%5D%3B%20C%20%5Bform%3D%22indirectly%22%5D%3B%20B%20%5Bform%3D%22or%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	directly	20.04	20.04	0.00	5.96	1.00	10.07
down <advmod here	down	here																						1	4.7	AB	"pattern {B [form=""here""]; A [form=""down""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22here%22%5D%3B%20A%20%5Bform%3D%22down%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	here	2.93	2.93	0.01	6.60	0.87	0.03
down <advmod there >obl (in <case the <det dark)	down	there	in	the	dark																			1	4.7	ABCDE	"pattern {B [form=""there""]; A [form=""down""]; E [form=""dark""]; C [form=""in""]; D [form=""the""]; B -[advmod]-> A; B -[obl]-> E; E -[case]-> C; E -[det]-> D; B >> A; B << E; E >> C; E >> D} without {B -> X0} without {A -> X1} without {E -> X2} without {C -> X3} without {D -> X4}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22there%22%5D%3B%20A%20%5Bform%3D%22down%22%5D%3B%20E%20%5Bform%3D%22dark%22%5D%3B%20C%20%5Bform%3D%22in%22%5D%3B%20D%20%5Bform%3D%22the%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20-%5Bobl%5D-%3E%20E%3B%20E%20-%5Bcase%5D-%3E%20C%3B%20E%20-%5Bdet%5D-%3E%20D%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20E%3B%20E%20%3E%3E%20C%3B%20E%20%3E%3E%20D%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BE%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D	5	there	26.21	26.21	0.00	2.67	1.00	13.78
down >obl (to <case the <det hoof)	down	to	the	hoof																				1	4.7	ABCD	"pattern {A [form=""down""]; D [form=""hoof""]; B [form=""to""]; C [form=""the""]; A -[obl]-> D; D -[case]-> B; D -[det]-> C; A << D; D >> B; D >> C} without {A -> X0} without {D -> X1} without {B -> X2} without {C -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22down%22%5D%3B%20D%20%5Bform%3D%22hoof%22%5D%3B%20B%20%5Bform%3D%22to%22%5D%3B%20C%20%5Bform%3D%22the%22%5D%3B%20A%20-%5Bobl%5D-%3E%20D%3B%20D%20-%5Bcase%5D-%3E%20B%3B%20D%20-%5Bdet%5D-%3E%20C%3B%20A%20%3C%3C%20D%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BD%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D	4	down	17.84	17.84	0.00	2.26	1.00	8.74
earlier >obl:unmarked (this <det year)	earlier	this	year																					1	4.7	ABC	"pattern {A [form=""earlier""]; C [form=""year""]; B [form=""this""]; A -[obl:unmarked]-> C; C -[det]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22earlier%22%5D%3B%20C%20%5Bform%3D%22year%22%5D%3B%20B%20%5Bform%3D%22this%22%5D%3B%20A%20-%5Bobl%3Aunmarked%5D-%3E%20C%3B%20C%20-%5Bdet%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	earlier	13.86	13.86	0.00	5.45	1.00	6.34
earlier >obl:unmarked today	earlier	today																						1	4.7	AB	"pattern {A [form=""earlier""]; B [form=""today""]; A -[obl:unmarked]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22earlier%22%5D%3B%20B%20%5Bform%3D%22today%22%5D%3B%20A%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	earlier	6.46	6.46	0.02	8.00	0.99	1.91
early >obl (in <case 2016)	early	in	2016																					1	4.7	ABC	"pattern {A [form=""early""]; C [form=""2016""]; B [form=""in""]; A -[obl]-> C; C -[case]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22early%22%5D%3B%20C%20%5Bform%3D%222016%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bobl%5D-%3E%20C%3B%20C%20-%5Bcase%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	early	13.60	13.60	0.00	3.91	1.00	6.19
east >conj (and <cc west)	east	and	west																					1	4.7	ABC	"pattern {A [form=""east""]; C [form=""west""]; B [form=""and""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22east%22%5D%3B%20C%20%5Bform%3D%22west%22%5D%3B%20B%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	east	13.72	13.72	0.00	3.30	1.00	6.26
east >obl (of <case Ziguinchor)	east	of	Ziguinchor																					1	4.7	ABC	"pattern {A [form=""east""]; C [form=""Ziguinchor""]; B [form=""of""]; A -[obl]-> C; C -[case]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22east%22%5D%3B%20C%20%5Bform%3D%22Ziguinchor%22%5D%3B%20B%20%5Bform%3D%22of%22%5D%3B%20A%20-%5Bobl%5D-%3E%20C%3B%20C%20-%5Bcase%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	east	16.38	16.38	0.00	3.22	1.00	7.86
east >obl (of <case the <det Mississippi <compound River)	east	of	the	Mississippi	River																			1	4.7	ABCDE	"pattern {A [form=""east""]; E [form=""River""]; B [form=""of""]; C [form=""the""]; D [form=""Mississippi""]; A -[obl]-> E; E -[case]-> B; E -[det]-> C; E -[compound]-> D; A << E; E >> B; E >> C; E >> D} without {A -> X0} without {E -> X1} without {B -> X2} without {C -> X3} without {D -> X4}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22east%22%5D%3B%20E%20%5Bform%3D%22River%22%5D%3B%20B%20%5Bform%3D%22of%22%5D%3B%20C%20%5Bform%3D%22the%22%5D%3B%20D%20%5Bform%3D%22Mississippi%22%5D%3B%20A%20-%5Bobl%5D-%3E%20E%3B%20E%20-%5Bcase%5D-%3E%20B%3B%20E%20-%5Bdet%5D-%3E%20C%3B%20E%20-%5Bcompound%5D-%3E%20D%3B%20A%20%3C%3C%20E%3B%20E%20%3E%3E%20B%3B%20E%20%3E%3E%20C%3B%20E%20%3E%3E%20D%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BE%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D	5	east	37.45	37.45	0.00	2.51	1.00	20.55
effective >obl (at <case noon >nmod:unmarked tomorrow)	effective	at	noon	tomorrow																				1	4.7	ABCD	"pattern {A [form=""effective""]; C [form=""noon""]; B [form=""at""]; D [form=""tomorrow""]; A -[obl]-> C; C -[case]-> B; C -[nmod:unmarked]-> D; A << C; C >> B; C << D} without {A -> X0} without {C -> X1} without {B -> X2} without {D -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22effective%22%5D%3B%20C%20%5Bform%3D%22noon%22%5D%3B%20B%20%5Bform%3D%22at%22%5D%3B%20D%20%5Bform%3D%22tomorrow%22%5D%3B%20A%20-%5Bobl%5D-%3E%20C%3B%20C%20-%5Bcase%5D-%3E%20B%3B%20C%20-%5Bnmod%3Aunmarked%5D-%3E%20D%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%3B%20C%20%3C%3C%20D%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BD%20-%3E%20X3%7D	4	effective	34.45	34.45	0.00	6.29	1.00	18.74
enough >advcl (to <mark be <aux:pass seen >obl:agent (by <case the <det entire <amod world))	enough	to	be	seen	by	the	entire	world																1	4.7	ABCDEFGH	"pattern {A [form=""enough""]; D [form=""seen""]; B [form=""to""]; C [form=""be""]; H [form=""world""]; E [form=""by""]; F [form=""the""]; G [form=""entire""]; A -[advcl]-> D; D -[mark]-> B; D -[aux:pass]-> C; D -[obl:agent]-> H; H -[case]-> E; H -[det]-> F; H -[amod]-> G; A << D; D >> B; D >> C; D << H; H >> E; H >> F; H >> G} without {A -> X0} without {D -> X1} without {B -> X2} without {C -> X3} without {H -> X4} without {E -> X5} without {F -> X6} without {G -> X7}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22enough%22%5D%3B%20D%20%5Bform%3D%22seen%22%5D%3B%20B%20%5Bform%3D%22to%22%5D%3B%20C%20%5Bform%3D%22be%22%5D%3B%20H%20%5Bform%3D%22world%22%5D%3B%20E%20%5Bform%3D%22by%22%5D%3B%20F%20%5Bform%3D%22the%22%5D%3B%20G%20%5Bform%3D%22entire%22%5D%3B%20A%20-%5Badvcl%5D-%3E%20D%3B%20D%20-%5Bmark%5D-%3E%20B%3B%20D%20-%5Baux%3Apass%5D-%3E%20C%3B%20D%20-%5Bobl%3Aagent%5D-%3E%20H%3B%20H%20-%5Bcase%5D-%3E%20E%3B%20H%20-%5Bdet%5D-%3E%20F%3B%20H%20-%5Bamod%5D-%3E%20G%3B%20A%20%3C%3C%20D%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%3B%20D%20%3C%3C%20H%3B%20H%20%3E%3E%20E%3B%20H%20%3E%3E%20F%3B%20H%20%3E%3E%20G%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BD%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BH%20-%3E%20X4%7D%20without%20%7BE%20-%3E%20X5%7D%20without%20%7BF%20-%3E%20X6%7D%20without%20%7BG%20-%3E%20X7%7D	8	enough	56.77	56.77	0.00	3.10	1.00	32.18
even <advmod more >advcl (than <mark it <nsubj is >advmod now)	even	more	than	it	is	now																		1	4.7	ABCDEF	"pattern {B [form=""more""]; A [form=""even""]; E [form=""is""]; C [form=""than""]; D [form=""it""]; F [form=""now""]; B -[advmod]-> A; B -[advcl]-> E; E -[mark]-> C; E -[nsubj]-> D; E -[advmod]-> F; B >> A; B << E; E >> C; E >> D; E << F} without {B -> X0} without {A -> X1} without {E -> X2} without {C -> X3} without {D -> X4} without {F -> X5}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22more%22%5D%3B%20A%20%5Bform%3D%22even%22%5D%3B%20E%20%5Bform%3D%22is%22%5D%3B%20C%20%5Bform%3D%22than%22%5D%3B%20D%20%5Bform%3D%22it%22%5D%3B%20F%20%5Bform%3D%22now%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20-%5Badvcl%5D-%3E%20E%3B%20E%20-%5Bmark%5D-%3E%20C%3B%20E%20-%5Bnsubj%5D-%3E%20D%3B%20E%20-%5Badvmod%5D-%3E%20F%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20E%3B%20E%20%3E%3E%20C%3B%20E%20%3E%3E%20D%3B%20E%20%3C%3C%20F%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BE%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D%20without%20%7BF%20-%3E%20X5%7D	6	more	35.76	35.76	0.00	4.44	1.00	19.53
even <advmod now	even	now																						1	4.7	AB	"pattern {B [form=""now""]; A [form=""even""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22now%22%5D%3B%20A%20%5Bform%3D%22even%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	now	2.70	2.70	0.01	6.49	0.85	-0.07
even <advmod subconsciously	even	subconsciously																						1	4.7	AB	"pattern {B [form=""subconsciously""]; A [form=""even""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22subconsciously%22%5D%3B%20A%20%5Bform%3D%22even%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	subconsciously	9.39	9.39	0.01	7.68	1.00	3.66
even <advmod there	even	there																						1	4.7	AB	"pattern {B [form=""there""]; A [form=""even""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22there%22%5D%3B%20A%20%5Bform%3D%22even%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	there	1.60	1.60	0.00	5.77	0.67	-0.38
ever <advmod since	ever	since																						1	4.7	AB	"pattern {B [form=""since""]; A [form=""ever""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22since%22%5D%3B%20A%20%5Bform%3D%22ever%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	since	6.26	6.26	0.02	8.27	0.99	1.79
every <det once >obl (in <case a <det while)	every	once	in	a	while																			1	4.7	ABCDE	"pattern {B [form=""once""]; A [form=""every""]; E [form=""while""]; C [form=""in""]; D [form=""a""]; B -[det]-> A; B -[obl]-> E; E -[case]-> C; E -[det]-> D; B >> A; B << E; E >> C; E >> D} without {B -> X0} without {A -> X1} without {E -> X2} without {C -> X3} without {D -> X4}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22once%22%5D%3B%20A%20%5Bform%3D%22every%22%5D%3B%20E%20%5Bform%3D%22while%22%5D%3B%20C%20%5Bform%3D%22in%22%5D%3B%20D%20%5Bform%3D%22a%22%5D%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20B%20-%5Bobl%5D-%3E%20E%3B%20E%20-%5Bcase%5D-%3E%20C%3B%20E%20-%5Bdet%5D-%3E%20D%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20E%3B%20E%20%3E%3E%20C%3B%20E%20%3E%3E%20D%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BE%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D	5	once	28.57	28.57	0.00	3.53	1.00	15.20
exactly <advmod how	exactly	how																						1	4.7	AB	"pattern {B [form=""how""]; A [form=""exactly""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22how%22%5D%3B%20A%20%5Bform%3D%22exactly%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	how	6.52	6.52	0.01	7.21	0.99	1.95
exceptionally <advmod well	exceptionally	well																						1	4.7	AB	"pattern {B [form=""well""]; A [form=""exceptionally""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22well%22%5D%3B%20A%20%5Bform%3D%22exceptionally%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	well	8.62	8.62	0.01	7.49	1.00	3.20
far <advmod less	far	less																						1	4.7	AB	"pattern {B [form=""less""]; A [form=""far""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22less%22%5D%3B%20A%20%5Bform%3D%22far%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	less	5.97	5.97	0.02	8.13	0.98	1.62
